ID,Name,Job_role,Skills,Experience,Education,Summary
R001,Shruthi,Backend Developer,"Database Design, Normalization, Indexing, Performance Tuning",3.2,B.E. Computer Science And Engineering,Experienced Backend Developer Skilled In Building Scalable Server-Side Applications Using Node.Js And Restful Apis.
R002,Arjun,Python Developer,"Python, Django, Flask, Rest Apis, Postgresql",2.8,B.Tech Computer Science,Python Developer Proficient In Developing Robust Applications And Automation Scripts Using Django And Flask Frameworks.
R003,Neha,Data Scientist,"Python, Machine Learning, Pandas, Scikit-Learn, Data Visualization",4.5,M.Sc. Data Science,"Data Scientist With Expertise In Statistical Modeling, Machine Learning, And Large-Scale Data Analysis Using Python."
R004,Karthik,Frontend Developer,"Html, Css, Javascript, React.Js, Responsive Design",3,B.E. Computer Science And Design,"Creative Frontend Developer Skilled In Building Responsive User Interfaces Using Html, Css, And Javascript Frameworks."
R005,Aishwarya,Frontend Developer,"Html, Bootstrap, Angular, Css Grid, Ux Principles",2.2,B.Sc. Information Technology,"Frontend Developer With A Strong Foundation In Ui/Ux Principles, Creating Pixel-Perfect Designs And Interactive Components."
R006,Ravi,Backend Developer,"Node.Js, Express, Mongodb, Restful Apis, Sql",5.1,B.Tech Software Engineering,"Backend Developer With Hands-On Experience In Java And Spring Boot, Delivering Secure And Efficient Backend Systems."
R007,Ananya,Backend Developer,"Java, Spring Boot, Mysql, Rest Apis, Git",4.4,B.Sc. Computer Science,"Proficient Backend Developer Specializing In Api Development, Data Storage Optimization, And Cloud Integration."
R008,Suresh,Python Developer,"Python, Fastapi, Sqlite, Web Scraping, Json",3.9,M.Sc. Computer Science,"Python Developer Experienced In Scripting, Web Development, And Backend Apis Using Flask And Fastapi."
R009,Pooja,Python Developer,"Python, Django, Git, Postgresql, Api Integration",1.5,Bca,Python Developer Focused On Building Scalable Web Applications And Automation Tools Using Django And Postgresql.
R010,Rahul,Data Scientist,"R, Python, Machine Learning, Numpy, Tableau",2.6,M.Sc. Ai And Data Science,"Data Scientist With Experience In Predictive Modeling And Data Visualization Using Python, R, And Tableau."
R011,Meena,Data Scientist,"Python, Deep Learning, Tensorflow, Numpy, Data Wrangling",6,M.Sc. Data Analytics,"Data Scientist With Strong Skills In Machine Learning, Data Visualization, And Predictive Analytics Using Python And R."
R012,Vikram,Frontend Developer,"React, Tailwind Css, Javascript, Github, Figma",4.2,B.E. Computer Science And Engineering,"Frontend Developer Skilled In Building Interactive Uis Using React.Js, Html, Css, And Responsive Design Frameworks."
R013,Sanjana,Backend Developer,"Php, Laravel, Mysql, Redis, Api Integration",3.5,B.Tech Information Technology,Backend Developer Experienced In Designing Restful Apis And Microservices Architecture Using Node.Js And Express.
R014,Deepak,Python Developer,"Python, Flask, Pandas, Sqlalchemy, Jenkins",5,B.Sc. Computer Applications,"Python Developer With Expertise In Data Analysis, Backend Development, And Web Automation Using Django And Flask."
R015,Lavanya,Data Scientist,"Python, Nlp, Scikit-Learn, Nltk, Matplotlib",3.8,B.Sc. Data Science,"Data Scientist Focused On Nlp, Data Modeling, And Feature Engineering Using Python And Scikit-Learn."
R016,Ashwin,Data Scientist,"Data Mining, Python, Keras, Jupyter, Power Bi",2,M.Sc. Statistics,Data Scientist With Hands-On Experience In Exploratory Data Analysis And Statistical Testing.
R017,Kavitha,Frontend Developer,"Vue.Js, Html5, Css3, Javascript, Figma",1.8,B.E. Information Technology,"Frontend Developer Proficient In Ui/Ux Practices, Using Figma And Javascript Frameworks For Web Development."
R018,Naveen,Backend Developer,"Ruby On Rails, Postgresql, Docker, Git, Redis",6.2,B.E. Computer Engineering,"Backend Developer With Knowledge In Database Architecture, Api Development, And Server-Side Logic In Java."
R019,Vinitha,Python Developer,"Python, Matplotlib, Flask, Sql, Web Automation",2.4,M.Sc. Artificial Intelligence,"Python Developer Experienced In Backend Logic, Api Integration, And Automation Tools Using Python Libraries."
R020,Sundari,Data Scientist,"Python, Data Analysis, Seaborn, Tensorflow, Sql",4.9,M.Tech Data Science,Data Scientist With Strong Statistical Skills And Hands-On Experience In Building Ml Pipelines Using Pandas And Numpy.
R021,Jatin,Data Scientist,"Python, Pytorch, Ml Algorithms, Data Preprocessing, Tableau",3.3,B.Sc. Statistics,Data Scientist Experienced In Processing Structured And Unstructured Data To Drive Business Insights.
